// OrderedTakeGroupDef
препарат; препараты
простой протез руки; простые протезы руки
простой кардиопротез; простые кардиопротезы
простой протез ноги; простые протезы ноги
генератор пси-импульса (животные); генераторы пси-импульса (животные)
генератор успокаивающего пси-импульса; генераторы успокаивающего пси-импульса
ядро ИИ; ядра ИИ
слоновий бивень; слоновьи бивни
сыворотка исцеления; сыворотки исцеления
сыворотка воскрешения; сыворотки воскрешения
субличность-учитель; субличности-учителя
рог трумбо; рога трумбо
вкусное блюдо; вкусные блюда
вкусное мясное блюдо; вкусные мясные блюда
вкусное вегетарианское блюдо; вкусные вегетарианские блюда
шикарное блюдо; шикарные блюда
шикарное мясное блюдо; шикарные мясные блюда
шикарное вегетарианское блюдо; шикарные вегетарианские блюда
простое блюдо; простые блюда
сухой паёк; сухие пайки
яйцо казуара (опл.); яйца казуара (опл.)
куриное яйцо (опл.); куриные яйца (опл.)
куриное яйцо (неопл.); куриные яйца (неопл.)
яйцо кобры (опл.); яйца кобры (опл.)
утиное яйцо (опл.); утиные яйца (опл.)
утиное яйцо; утиные яйца
яйцо эму (опл.); яйца эму (опл.)
гусиное яйцо (опл.); гусиные яйца (опл.)
гусиное яйцо; гусиные яйца
яйцо игуаны (опл.); яйца игуаны (опл.)
страусиное яйцо (опл.); страусиные яйца (опл.)
черепашье яйцо (опл.); черепашьи яйца (опл.)
яйцо индейки (опл.); яйца индейки (опл.)
компонент; компоненты
продвинутый компонент; продвинутые компоненты
укреплённый ствол; укреплённые стволы
сено; сено
психолистья; психолистья
агава; агава
ягоды; ягоды
кукуруза; кукуруза
грибы; грибы
хмель; хмель
картофель; картофель
рис; рис
листья дымолиста; листья дымолиста
гранульный снаряд; гранульные снаряды
ЭМИ-снаряд; ЭМИ-снаряды
пенный снаряд; пенные снаряды
осколочный снаряд; осколочные снаряды
зажигательный снаряд; зажигательные снаряды
дымовой снаряд; дымовые снаряды
ткань; ткань
дьявлоткань; дьявлоткань
золото; золото
гиперткань; гиперткань
пласталь; пласталь
серебро; серебро
сталь; сталь
синткань; синткань
уран; уран
древесина; древесина
бревно; брёвна
шерсть альпака; шерсть альпака
шерсть зубра; шерсть зубра
шерсть гигантского ленивца; шерсть гигантского ленивца
шерсть муффало; шерсть муффало
овечья шерсть; овечья шерсть
медвежья шкура; медвежья шкура
кожа птицы; кожа птицы
голубой мех; голубой мех
шкура верблюда; шкуры верблюда
мех шиншиллы; мех шиншиллы
собачья шкура; собачья шкура
слоновья кожа; слоновья кожа
лисья шкура; лисья шкура
мех морской свинки; мех морской свинки
толстая шкура; толстая шкура
кожа человека; кожа человека
лёгкая кожа; лёгкая кожа
кожа рептилии; кожа рептилии
шкура пантеры; шкура пантеры
лоскутная кожа; лоскутная кожа
свиная кожа; свиная кожа
кожа; кожа
кожа носорога; кожа носорога
мех трумбо; мех трумбо
волчья шкура; волчья шкура
предмет; предметы
пересаживаемое дерево; пересаживаемые деревья
люциферий; люциферий
гладиус; гладиусы
длинный меч; длинные мечи
булава; булавы
дубина; дубины
иклва; иклва
нож; ножи
копьё; копья
пеноксицилин; пеноксицилин
пластосвет; пластосвет
бриолюкс; бриолюкс
шаяльник; шаяльник
лилейник; лилейники
роза; розы
хлопчатник; хлопчатник
дьявлонитник; дьявлонитник
сенотрава; сенотрава
лечебный корень; лечебный корень
психолист; психолист
дымолист; дымолист
клубника; клубника
какао; какао
куст амброзии; кусты амброзии
кактус-игольник; кактусы-игольники
кактус Карнегия; кактусы Карнегия
драконово дерево; драконовы деревья
колючие заросли; колючие заросли
куст; кусты
трава; трава
дикий лечебный корень; дикий лечебный корень
высокая трава; высокая трава
лозокуст; лозокуст
болотный кипарис; болотные кипарисы
клён; клёны
ива; ивы
астрагал; астрагалы
ягодный куст; ягодные кусты
одуванчики; одуванчики
мох; мох
берёза; берёзы
дуб; дубы
сосна; сосны
тополь; тополи
алоказия; алоказии
кливия; кливии
раффлезия; раффлезии
низкий куст; низкие кусты
бамбук; бамбук
цекропия; цекропии
пальма; пальмы
тиковое дерево; тиковые деревья
хлопья психина; хлопья психина
психиновый чай; психиновый чай
порошок психина; порошок психина
медведь; медведи
медвежатина; медвежатина
белый медведь; белые медведи
казуар; казуары
эму; эму
страус; страусы
пума; пумы
рысь; рыси
пантера; пантеры
кошка; кошки
морская свинка; морские свинки
хаски; хаски
лабрадор-ретривер; лабрадоры-ретриверы
обезьяна; обезьяны
йоркширский терьер; йоркширские терьеры
курица; куры
утка; утки
гусь; гуси
индейка; индейки
зубр; зубры
бумалопа; бумалопы
северный олень; северные олени
корова; коровы
осёл; ослы
верблюд; верблюды
слон; слоны
марал; маралы
коза; козы
лошадь; лошади
муффало; муффало
носорог; носороги
як; яки
заяц; зайцы
беляк; беляки
мегаскарабей; мегаскарабеи
мегапаук; мегапауки
пещерный жук; пещерные жуки
альфабобёр; альфабобры
кобра; кобры
трумбо; трумбо
черепаха; черепахи
шиншилла; шиншиллы
олень; олени
газель; газели
горный козёл; горные козлы
свинья; свиньи
кабан; кабаны
альпака; альпака
капибара; капибары
гигантский ленивец; гигантские ленивцы
овца; овцы
бумкрыса; бумкрысы
игуана; игуаны
енот; еноты
крыса; крысы
белка; белки
варг; варги
песец; песцы
фенек; фенеки
лисица; лисицы
полярный волк; полярные волки
волк; волки
человек; люди
сентипеда; сентипеды
улан; уланы
драгун; драгуны
жнец; жнецы
термит; термиты
автомат; автоматы
пистолет; пистолеты
винтовка; винтовки
автоматический дробовик; автоматические дробовики
ЭМИ-гранатомёт; ЭМИ-гранатомёты
пистолет-пулемёт; пистолеты-пулемёты
реактивный огнемёт; реактивные огнемёты
ручной пулемёт; ручные пулемёты
автоматический пистолет; автоматические пистолеты
миниган; миниганы
дробовик; дробовики
револьвер; револьверы
дымовой гранатомёт; дымовые гранатомёты
снайперская винтовка; снайперские винтовки
ракета; ракеты
ракетница судного дня; ракетницы судного дня
ракетница «Тройка»; ракетницы «Тройка»
ЭМИ-гранаты; ЭМИ-гранаты
осколочные гранаты; осколочные гранаты
коктейли Молотова; коктейли Молотова
игла; иглы
тяжёлый бластер; тяжёлые бластеры
инферно-пушка; инферно-пушки
иглопушка; иглопушки
длинный лук; длинные луки
рекурсивный лук; рекурсивные луки
короткий лук; короткие луки
пилум; пилумы
энергокопьё; энергокопья
энерговинтовка; энерговинтовки
целеуказатель для бомбардировки; целеуказатели для бомбардировки
целеуказатель для силового луча; целеуказатели для силового луча
генератор вихря; генераторы вихря
косяк дымолиста; косяки дымолиста
блоки гранита; блоки гранита
блоки известняка; блоки известняка
блоки мрамора; блоки мрамора
блоки песчаника; блоки песчаника
блоки сланца; блоки сланца
обломок гранита; обломки гранита
обломок известняка; обломки известняка
обломок мрамора; обломки мрамора
обломок песчаника; обломки песчаника
металлолом; металлолом
обломок сланца; обломки сланца
гранит; гранит
известняк; известняк
мрамор; мрамор
песчаник; песчаник
шиферный сланец; шиферный сланец
бодрин; бодрин
ударное орудие; ударные орудия
пиво; пиво
сусло; сусло
амброзия; амброзия
пожарный ранец; пожарные ранцы
дымовой ранец; дымовые ранцы
разведброня; разведброня
бронештаны; бронештаны
штаны; штаны
пехотная броня; пехотная броня
урна; урны
метка загона; метки загона
мешки с песком; мешки с песком
ворота; ворота
силовые когти; силовые когти
комбикорм; комбикорм
питательная паста; питательная паста
пеммикан; пеммикан
шоколад; шоколад
желе насекомых; желе насекомых
молоко; молоко
химическое топливо; химическое топливо
лекарственные травы; лекарственные травы
медикаменты; медикаменты
передовые медикаменты; передовые медикаменты
нейтроамин; нейтроамин
накидка; накидки
древняя капсула криптосна; древние капсулы криптосна
древняя лампа; древние лампы
нейроформер пси-связи; нейроформеры пси-связи
краситель; красители
нео-индигофера; нео-индигофера

// ThingDef.chargeNoun
пуск; пуски
заряд; заряды

// Keyed
животное; животные
мужчина; мужчины
женщина; женщины
